"Study_ID","Site","Year","ID","e_SNC_10m","e_SNC_20m","e_SNC_50m","e_RPG_10m","e_RPG_20m","e_RPG_50m"
"BIOMHE","2","2020","BIOMHE_2_2020","68880","62400","50550","25040","21020","18050"
"BIOMHE","3","2020","BIOMHE_3_2020","68370","61920","52750","24830","21140","16400"
"BIOMHE","5","2020","BIOMHE_5_2020","63540","56720","47350","32240","27800","23550"
"BIOMHE","6","2020","BIOMHE_6_2020","51310","47340","36850","38300","31700","26300"
"BIOMHE","7","2020","BIOMHE_7_2020","48910","41540","33650","35230","29380","21950"
"BIOMHE","8","2020","BIOMHE_8_2020","47980","41620","35450","38160","32060","24200"
"BIOMHE","9","2020","BIOMHE_9_2020","39300","34260","28850","24480","20260","14800"
"BIOMHE","10","2020","BIOMHE_10_2020","52120","46800","37100","41840","33480","26800"
"BIOMHE","11","2020","BIOMHE_11_2020","52600","45720","37400","41960","34060","25550"
"BIOMHE","12","2020","BIOMHE_12_2020","70640","64740","52450","25870","22500","17700"
"BIOMHE","15","2020","BIOMHE_15_2020","54570","49120","41050","41880","35300","25000"
"BIOMHE","16","2020","BIOMHE_16_2020","52520","47260","40900","36950","30200","22000"
"BIOMHE","17","2020","BIOMHE_17_2020","52490","47520","39200","42260","33920","26700"
"BIOMHE","18","2020","BIOMHE_18_2020","40560","37320","31100","26710","21820","16400"
"BIOMHE","20","2020","BIOMHE_20_2020","57280","51120","41500","24240","19340","13300"
"BIOMHE","21","2020","BIOMHE_21_2020","46430","41680","34300","40660","32520","23700"
"BIOMHE","22","2020","BIOMHE_22_2020","49300","44400","36600","42260","34060","25150"
"BIOMHE","23","2020","BIOMHE_23_2020","52830","48060","40800","39310","32480","24300"
"BIOMHE","24","2020","BIOMHE_24_2020","41050","35140","26850","27170","21420","17350"
"BIOMHE","25","2020","BIOMHE_25_2020","42830","37180","30250","28760","22760","17500"
"BIOMHE","28","2020","BIOMHE_28_2020","51180","46060","39450","37850","30440","21750"
"BIOMHE","30","2020","BIOMHE_30_2020","54450","49300","41000","49680","41560","30750"
"BIOMHE","31","2020","BIOMHE_31_2020","53550","49040","41350","36080","29380","23050"
"BIOMHE","33","2020","BIOMHE_33_2020","61230","53720","43500","21730","18380","14650"
"BIOMHE","34","2020","BIOMHE_34_2020","44910","39980","32300","19630","15640","11250"
"BIOMHE","36","2020","BIOMHE_36_2020","48550","42240","34050","37430","30280","22550"
"BIOMHE","39","2020","BIOMHE_39_2020","51640","45280","38950","33970","26840","21250"
"BIOMHE","42","2020","BIOMHE_42_2020","57060","50020","40300","25950","20600","15200"
"BIOMHE","43","2020","BIOMHE_43_2020","58620","52220","43300","45080","36880","30000"
"BIOMHE","44","2020","BIOMHE_44_2020","56970","51480","42300","33060","27360","22500"
"BIOMHE","45","2020","BIOMHE_45_2020","64170","54920","43400","38090","32180","27550"
"BIOMHE","47","2020","BIOMHE_47_2020","47390","42940","36550","36670","29240","21650"
"BIOMHE","49","2020","BIOMHE_49_2020","49050","43420","34650","52330","43900","35050"
"BIOMHE","50","2020","BIOMHE_50_2020","40700","34640","26700","30800","24840","19600"
"BIOMHE","51","2020","BIOMHE_51_2020","55370","48400","40150","45980","37560","30400"
"BIOMHE","54","2020","BIOMHE_54_2020","56840","51200","40850","30280","25000","20650"
"BIOMHE","57","2020","BIOMHE_57_2020","52080","48240","41050","26390","20260","16250"
"BIOMHE","58","2020","BIOMHE_58_2020","52550","47820","40900","26350","20680","15950"
"BIOMHE","60","2020","BIOMHE_60_2020","48730","42620","34800","41070","33440","26950"
"BIOMHE","99","2020","BIOMHE_99_2020","61320","52060","41000","35020","29500","24000"
"DIVAG","10AB-M","2019","DIVAG_10AB-M_2019","42930","40180","32800","48000","39740","29950"
"DIVAG","11AB-M","2019","DIVAG_11AB-M_2019","42980","40280","34750","44300","36720","29250"
"DIVAG","12AB-M","2019","DIVAG_12AB-M_2019","39970","36520","31650","39740","33860","24000"
"DIVAG","12AB-P","2019","DIVAG_12AB-P_2019","40990","38160","34000","36400","30100","20800"
"DIVAG","13AB-P","2019","DIVAG_13AB-P_2019","42560","39840","35800","23220","18460","13600"
"DIVAG","14AB-M","2019","DIVAG_14AB-M_2019","42970","39540","34600","26940","22120","15650"
"DIVAG","14AB-P","2019","DIVAG_14AB-P_2019","44050","40300","34450","28320","22400","17200"
"DIVAG","15AB-M1","2019","DIVAG_15AB-M1_2019","46690","42900","38850","35040","30300","24150"
"DIVAG","15AB-M2","2019","DIVAG_15AB-M2_2019","45130","41600","37150","35570","31800","25350"
"DIVAG","16AB-M","2019","DIVAG_16AB-M_2019","44770","41140","34350","41230","35040","29800"
"DIVAG","17AB-M","2019","DIVAG_17AB-M_2019","38660","35640","31400","22240","17360","13600"
"DIVAG","17AB-P","2019","DIVAG_17AB-P_2019","35370","32660","27400","22140","17920","13900"
"DIVAG","18AB-M1","2019","DIVAG_18AB-M1_2019","55000","51060","43000","33780","27680","21450"
