"ID","Study_ID","Year","Site","lulc_N","lulc_N1","lulc_N2","lulc_N3","lulc_N4","lulc_N5","buffer500_RPG_Maïs (hors maïs doux)","buffer500_RPG_Orge d'hiver","buffer500_RPG_Blé dur d’hiver","buffer500_RPG_Tournesol","buffer500_RPG_Jachère de 5 ans ou moins","buffer500_RPG_Luzerne implantée pour la récolte 2015","buffer500_RPG_Prairie de 6 ans ou plus (couvert herbacé)","buffer500_RPG_Prairie en rotation longue (6 ans ou plus)","buffer500_RPG_Prairie temporaire de moins de 5 ans et autre mélange avec graminées","buffer500_RPG_Poire","buffer500_RPG_Autre verger (y compris verger DOM)","buffer500_RPG_Vigne (sauf vigne rouge)","buffer500_RPG_Olive","buffer500_RPG_Betterave","buffer500_RPG_Concombre, cornichon et courgette","buffer500_RPG_Courge musquée / Butternut","buffer500_RPG_Autre légume ou fruit annuel","buffer500_RPG_Autre légume ou fruit pérenne (hors petit fruit à baie)","buffer500_RPG_Pomme de terre","buffer500_RPG_Surface agricole temporairement non admissible, autre que surface pâturable","buffer500_OSO_Bâtis diffus","buffer500_OSO_Zones industrielles et commerciales","buffer500_OSO_Céréales à pailles","buffer500_OSO_Tournesol","buffer500_OSO_Prairies","buffer500_OSO_Vergers","buffer500_OSO_Vignes","buffer500_OSO_Forêts de feuillus","buffer500_OSO_Landes ligneuses","buffer500_OSO_Serres"
"SEBIOPAG_BVD_11_2020","SEBIOPAG_BVD",2020,"11","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,0,0,2.68,0,0.93,0,19.23,0,1.2,0,0,0,0,0,0,0.08,14.44,0.61,0.49,0.49,13.26,23.57,1.53,15.04,4.81,0
"SEBIOPAG_BVD_11_2021","SEBIOPAG_BVD",2021,"11","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0.29,0,2.68,0,0.64,0,19.34,0,1.2,0,0,0,0,0,0,0.08,17.99,0,0,0,12.1,19.1,2.3,19.44,3.57,0
"SEBIOPAG_BVD_11_2022","SEBIOPAG_BVD",2022,"11","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0.93,0,2.68,0,0.02,0,19.12,0,1.2,0,0,0,0,0,0,0.08,14.11,0,0,0.05,11.91,27.53,2.57,15.43,1.41,1.99
"SEBIOPAG_BVD_177_2020","SEBIOPAG_BVD",2020,"177","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,2.43,0,3.04,3.07,0,0,13.06,0,0,0,39.43,0,0,0,0,0,0,0,0,0,9.31,5.55,1.22,0.18,6.22,5.2,4.26,1.08,2.59,0
"SEBIOPAG_BVD_177_2021","SEBIOPAG_BVD",2021,"177","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",2.45,0,2.61,3.04,1.67,0,13.06,0,0,0,37.75,0,0,0,0,0,0,0,0,0,13.36,2.66,0,0.36,4.11,5.98,4.66,1.86,3.42,0
"SEBIOPAG_BVD_177_2022","SEBIOPAG_BVD",2022,"177","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",6.2,0,0,2.61,0,0,9.71,0,0,0,37.75,0,0,0,0,0,0,0,0,1.93,9.26,2.64,0,0.6,3.76,6.69,6.02,1.8,2.96,2.98
"SEBIOPAG_BVD_185_2020","SEBIOPAG_BVD",2020,"185","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,4.6,0,0.96,0,0,0,10.75,0,3.44,0,31.09,0,0,0,0,0,0,0,0,0.61,4.57,0,0.01,9.03,3.78,11.84,8.7,7.27,3.01,0
"SEBIOPAG_BVD_185_2021","SEBIOPAG_BVD",2021,"185","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",1.19,0,0,0.96,0,0,10.76,0,3.44,0,34.41,0,0,0,0,0,0,0,0,0.61,6.54,0,0.35,0.06,7.81,11.55,10.44,7.78,3.79,0
"SEBIOPAG_BVD_185_2022","SEBIOPAG_BVD",2022,"185","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",3.85,0,0,2.15,0,0,10.76,0,3.44,0,30.56,0,0,0,0,0,0,0,0,0.61,8.68,0,0,12.45,3.46,11.28,2.45,7.13,2.77,0.08
"SEBIOPAG_BVD_191_2020","SEBIOPAG_BVD",2020,"191","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,0.35,0,0,0,0,0,37.57,0,0,0,0,0,0,0,0,15.7,10.98,1.47,0,0.76,7.14,14.9,0.57,7.9,1.62,0
