"Study_ID","Plot_ID","Year","Crop_species","ID","id_parcel","code_cultu","id_cultu","Perim_m","Area_ha","Median_fieldsize_500m_ha","Median_fieldsize_1000m_ha","N-1","id_parcel_N-1","code_cultu_N-1","id_cultu_N-1","N-2","id_parcel_N-2","code_cultu_N-2","id_cultu_N-2","N-3","id_parcel_N-3","code_cultu_N-3","id_cultu_N-3","N-4","id_parcel_N-4","code_cultu_N-4","id_cultu_N-4"
"BIOMHE","2",2020,"Triticale (87.5%), pea (12.5%)","BIOMHE_2_2020","17345657","MCR",19,500.945822429265,1.47320666648503,0.979848593214551,1.29679347009476,2019,"14873056","MCR",19,2018,"12390985","BTH",1,2017,"10156953","PTR",188,2016,"3628406","PTR",188
"BIOMHE","3",2020,"Triticale (87.5%), pea (12.5%)","BIOMHE_3_2020","3628405","PPH",186,589.382871311012,1.28773842609394,1.47293335109279,1.21003933115537,2019,"3628405","PPH",186,2018,"3628405","PPH",186,2017,"3628405","PPH",186,2016,"3628405","PPH",186
"BIOMHE","5",2020,"Winter wheat","BIOMHE_5_2020","17335894","BTH",1,835.728005632952,4.24739661118835,2.17573272410855,1.57607672851541,2019,"14916566","MIE",4,2018,"3708400","BTH",1,2017,"3708400","MIE",4,2016,"3708400","BTH",1
"BIOMHE","6",2020,"Spring oat","BIOMHE_6_2020","17386390","BTH",1,948.165427314901,2.69820762580253,2.22364354949439,2.35283679480787,2019,"10156871","PTR",188,2018,"10156871","PTR",188,2017,"10156871","PTR",188,2016,"3598619","SGH",26
"BIOMHE","7",2020,"Winter wheat","BIOMHE_7_2020","3630768","BTH",1,790.605738451904,3.68540199838653,1.32844010944443,1.71944866818897,2019,"3630768","PTR",188,2018,"3630768","PTR",188,2017,"3630768","PTR",188,2016,"3630768","PTR",188
"BIOMHE","8",2020,"Winter wheat","BIOMHE_8_2020","12380561","BTH",1,888.357620579091,3.81644811007873,2.00293529282697,2.26328017153554,2019,"12380561","MIE",4,2018,"12380561","BTH",1,2017,"3630765","PTR",188,2016,"3630765","PTR",188
"BIOMHE","9",2020,"Winter wheat","BIOMHE_9_2020","17352647","BTH",1,764.796466269453,2.06592461547437,2.0472850137715,1.55994300337172,2019,"14837686","BTH",1,2018,"12353513","PTR",188,2017,"10181842","PTR",188,2016,"3596048","BTH",1
"BIOMHE","10",2020,"Winter wheat","BIOMHE_10_2020","17305686","BTH",1,1672.88598848902,7.24887970957977,2.65295021903478,2.54182436839212,2019,"12337021","PTR",188,2018,"12337021","BTH",1,2017,"10158493","BVF",82,2016,"3678185","PTR",188
"BIOMHE","11",2020,"Winter wheat","BIOMHE_11_2020","17382547","BTH",1,716.750335633951,3.15719034732495,2.64826398302007,2.53742612980697,2019,"14830534","MIS",5,2018,"3656018","ORH",6,2017,"3656018","BTH",1,2016,"3656018","MIS",5
"BIOMHE","15",2020,"Triticale (73%), pea (27%)","BIOMHE_15_2020","12347703","MCR",19,864.382301670793,4.50216833470804,2.36765537505504,1.51834327874199,2019,"12347703","MIS",5,2018,"12347703","MLG",136,2017,"3664002","MH6",125,2016,"3664002","MH6",125
"BIOMHE","17",2020,"Winter wheat","BIOMHE_17_2020","17310181","BTH",1,1712.96058983704,13.9864953647879,1.19901722788623,1.84160738450615,2019,"14905162","MIE",4,2018,"12354380","ORH",6,2017,"10162058","BTH",1,2016,"3677775","CZH",39
"BIOMHE","18",2020,"Winter wheat","BIOMHE_18_2020","17299782","BTH",1,1517.64354026179,10.52879690381,1.92355589302568,1.79982677227985,2019,"12368081","MIE",4,2018,"12368081","MIE",4,2017,"10194222","CZH",39,2016,"3593395","BTH",1
"BIOMHE","21",2020,"Winter wheat","BIOMHE_21_2020","17305717","BTH",1,1046.75285832119,6.26904556299634,1.37131150229316,1.52090391671956,2019,"14874084","MIE",4,2018,"12380044","PTR",188,2017,"3737341","PTR",188,2016,"3737341","PTR",188
"BIOMHE","22",2020,"Winter wheat","BIOMHE_22_2020","14904967","BTH",1,753.173589113928,3.00103867059071,2.34362462680973,1.36455987311026,2019,"14904967","CZH",39,2018,"10171370","BTH",1,2017,"10171370","MIS",5,2016,"3686881","BTH",1
"BIOMHE","23",2020,"Winter wheat","BIOMHE_23_2020","3706327","BTH",1,1230.18742249615,6.09274101028741,1.8749083682066,2.22059866580379,2019,"3706327","MIE",4,2018,"3706327","BTH",1,2017,"3706327","MIE",4,2016,"3706327","BTH",1
"BIOMHE","24",2020,"Winter wheat","BIOMHE_24_2020","3648992","BTH",1,669.472524578195,2.8073165013656,4.22808962446735,2.67593878943287,2019,"3648992","MIE",4,2018,"3648992","BTH",1,2017,"3648992","MIE",4,2016,"3648992","BTH",1
"BIOMHE","25",2020,"Winter wheat","BIOMHE_25_2020","14915241","BTH",1,998.779852518447,5.07380998665738,4.16168436335167,3.10612810995694,2019,"14915241","MIE",4,2018,"3648915","BTH",1,2017,"3648915","MIE",4,2016,"3648915","BTH",1
"BIOMHE","28",2020,"Winter wheat","BIOMHE_28_2020","3633255","BTH",1,354.032312320574,0.679257760698081,2.78418714392299,2.35569006076003,2019,"3633255","PHI",67,2018,"3633255","ORH",6,2017,"3633255","BTH",1,2016,"3633255","SRS",35
"BIOMHE","30",2020,"Winter wheat","BIOMHE_30_2020","12376480","BTH",1,1589.22678354819,12.06282292375,1.44474886901026,2.29374387373407,2019,"12376480","MLG",136,2018,"12376480","MLG",136,2017,"3603069","MH7",126,2016,"3603069","MIS",5
"BIOMHE","31",2020,"Winter wheat","BIOMHE_31_2020","17307198","BTH",1,961.990229527378,4.28079298523014,2.68047047146943,2.36658747194191,2019,"14870801","BVF",82,2018,"12355895","PTR",188,2017,"3582303","PTR",188,2016,"3582303","PTR",188
"BIOMHE","33",2020,"Winter wheat","BIOMHE_33_2020","14841603","BTH",1,470.497108195991,1.32133455353323,0.86527638410853,0.87838436665067,2019,"14841603","CPL",90,2018,"3744000","BTP",2,2017,"3744000","TR7",159,2016,"3744000","BTH",1
"BIOMHE","34",2020,"Winter wheat","BIOMHE_34_2020","17324659","ORP",7,1082.50750958682,3.80880767440701,2.19887626336403,2.05579322304307,2019,"12403045","CZH",39,2018,"12403045","BTH",1,2017,"10151852","PPO",324,2016,"3593758","BTH",1
"BIOMHE","36",2020,"Winter wheat","BIOMHE_36_2020","10182883","BTH",1,1207.4115176773,7.89075405604689,2.03177129112451,1.49456958486215,2019,"10182883","MIS",5,2018,"10182883","BTH",1,2017,"10182883","MIS",5,2016,"3656283","BTH",1
"BIOMHE","39",2020,"Winter wheat","BIOMHE_39_2020",NA,NA,NA,NA,NA,2.42844789196253,2.32836167696834,2019,NA,NA,NA,2018,NA,NA,NA,2017,NA,NA,NA,2016,NA,NA,NA
"BIOMHE","42",2020,"Winter wheat","BIOMHE_42_2020","14847383","BTH",1,537.80688477567,1.58161546095945,1.25966195312225,1.34450618758827,2019,"14847383","PTR",188,2018,"3671947","PTR",188,2017,"3671947","PTR",188,2016,"3671947","PTR",188
"BIOMHE","43",2020,"Winter wheat (78%), faba bean (21%)","BIOMHE_43_2020","14860893","MCR",19,1807.1721574308,9.45788542105621,1.81542518276995,1.67268982127309,2019,"14860893","CZH",39,2018,"10191544","MPC",63,2017,"10191544","CZH",39,2016,"3726247","MPC",63
"BIOMHE","44",2020,"Rye, linen","BIOMHE_44_2020","3726251","MCR",19,578.591613189994,1.5768326238015,2.3611812491145,2.07512586682998,2019,"3726251","LIP",44,2018,"3726251","CZH",39,2017,"3726251","MPC",63,2016,"3726251","CZH",39
"BIOMHE","45",2020,"Winter wheat","BIOMHE_45_2020","17369338","BTH",1,1323.41952515779,8.85614122229766,1.48458431789344,1.65737865560114,2019,"14889206","MIE",4,2018,"12359711","BTH",1,2017,"3576679","MIE",4,2016,"3576679","BTH",1
"BIOMHE","47",2020,"Faba bean (55.5%), triticale (44.5%)","BIOMHE_47_2020","3742498","MPC",63,730.892199396253,2.63346154011712,3.98917749256381,2.23358255103157,2019,"3742498","MIS",5,2018,"3742498","MLG",136,2017,"3742498","MH5",124,2016,"3742498","MH5",124
"BIOMHE","49",2020,"Triticale (50%), pea (35%), faba bean (15%)","BIOMHE_49_2020","17350325","MCR",19,433.725633510891,1.0386629357608,1.8520196752834,1.8110216277393,2019,"14849131","BTH",1,2018,"12357901","PTR",188,2017,"3634591","MH6",125,2016,"3634591","MH6",125
"BIOMHE","50",2020,"Winter wheat","BIOMHE_50_2020","17352795","BTH",1,545.299174126246,1.36809861636767,2.02687368740048,1.85028034369797,2019,"14909195","PTR",188,2018,NA,NA,NA,2017,NA,NA,NA,2016,NA,NA,NA
"BIOMHE","51",2020,"Winter wheat","BIOMHE_51_2020","17376429","BTH",1,1391.74651158413,10.1824506544184,2.22570708977021,1.87547190109342,2019,"12386753","MIE",4,2018,"12386753","TTH",37,2017,"3586406","BTH",1,2016,"3586406","MIE",4
"BIOMHE","54",2020,"Triticale (50%), pea (50%)","BIOMHE_54_2020","17365852","MCR",19,456.421735087417,1.17673950863406,1.63043231465229,1.64696597061595,2019,"3601399","MIE",4,2018,"3601399","MLG",136,2017,"3601399","MH5",124,2016,"3601399","MH5",124
"BIOMHE","57",2020,"Pea (34%), oat (27%), faba bean (24%), triticale (15%)","BIOMHE_57_2020","3601396","MCR",19,1045.88148232649,6.31169002540726,2.25160606605066,1.92675101829907,2019,"3601396","MIE",4,2018,"3601396","MPC",63,2017,"3601396","MIE",4,2016,"3601396","CZH",39
"BIOMHE","58",2020,"Winter wheat","BIOMHE_58_2020","17373729","BTH",1,608.138103159725,2.24185724755396,2.18455225724764,1.93697123057377,2019,"10185081","MLG",136,2018,"10185081","MLG",136,2017,"10185081","MH6",125,2016,"3606309","PTR",188
"BIOMHE","60",2020,"Triticale","BIOMHE_60_2020","12391144","BTH",1,546.846424776437,1.60425871079494,1.97570500187955,2.37356127444217,2019,"12391144","BTH",1,2018,"12391144","MIE",4,2017,"3724100","MCR",19,2016,"3724100","ORH",6
"BIOMHE","99",2020,"Winter wheat","BIOMHE_99_2020","3592021","BTP",2,594.856405235038,1.18658181044663,1.171145218041,0.991113895485984,2019,"3592021","ORP",7,2018,"3592021","BTH",1,2017,"3592021","TR7",159,2016,"3592021","MPC",63
"BIOMHE","12",2020,"Winter wheat","BIOMHE_12_2020","17374363","BTH",1,641.559736389856,2.20359035893874,1.16848597463501,1.18921071899757,2019,"3741251","BTH",1,2018,"3741251","BTH",1,2017,"3741251","BTH",1,2016,"3741251","MIE",4
"BIOMHE","16",2020,"Winter wheat","BIOMHE_16_2020","17310111","BTH",1,1061.64400266038,6.59188030429701,2.47070317912866,1.868477075044,2019,"12354296","CZH",39,2018,"12354296","BTH",1,2017,"10150710","MIE",4,2016,"3590979","BTH",1
"BIOMHE","20",2020,"Winter wheat","BIOMHE_20_2020","10178948","BTH",1,930.015837451431,4.61613293691683,1.18242130338989,1.25698950653275,2019,"10178948","MIE",4,2018,"10178948","BTH",1,2017,"10178948","MIE",4,2016,"3643151","ORH",6
"DIVAG","12AB-M",2019,"Triticale, pea, oat","DIVAG_12AB-M_2019","3630858","MCR",19,636.385480167187,2.26987693808555,2.23737399900123,2.36967332201921,2018,"3630858","MIE",4,2017,"3630858","BTH",1,2016,"3630858","BTH",1,2015,"10366310","PTR",188
