id,nutzung_fr,Hauptkategorie_FR,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group
501,"Autres surfaces dans la SAU, avec contributions",Autre surface au sein de la SAU ,28,div,divers,div,divers,50
502,"Autres surfaces dans la SAU, sans contributions",Autre surface au sein de la SAU ,28,div,divers,div,divers,50
503,Asperges,Autres cultures pérennes,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44
504,"Autres pepinieres (roses, fruits, etc.)",Autres cultures pérennes,28,div,divers,div,divers,50
505,"Autres pepinieres (rosiers, plantes ornementales, etc.)",Autres cultures pérennes,,,,,,
506,"Autres surfaces de cultures perennes, avec contributions",Autres cultures pérennes,,,,,,
507,"Autres surfaces de cultures perennes, avec contributions, agregee",Autres cultures pérennes,,,,,,
508,"Autres surfaces de cultures perennes, sans contributions",Autres cultures pérennes,,,,,,
509,Baies pluriannuelles,Autres cultures pérennes,,,,,,
510,"Buissons, arbrisseaux et arbustes ornementaux",Autres cultures pérennes,,,,,,
511,Champignons en pleine terre,Autres cultures pérennes,28,div,divers,div,divers,50
512,Chataigneraies entretenues (surface),Autres cultures pérennes,22,fruit_coq,fruits_a_coque,fruit_coq,fruits_a_coque,40
513,Cultures de muriers (alimentation des vers a soie),Autres cultures pérennes,28,div,divers,div,divers,50
514,Cultures horticoles pluriannuelles de plein air (pas en serres),Autres cultures pérennes,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44
515,Houblon,Autres cultures pérennes,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42
516,"Matieres premieres renouvelables pluriannuelles (roseau de Chine, etc.)",Autres cultures pérennes,,,,,,
517,Pepiniere de fruits et de baies,Autres cultures pérennes,28,div,divers,div,divers,50
518,Pepinieres de plantes forestieres hors zone forestiere,Autres cultures pérennes,28,div,divers,div,divers,50
519,Pepinieres viticoles,Autres cultures pérennes,28,div,divers,div,divers,50
