"Study_ID","Site","Year","ID","e_SNC_10m","e_SNC_20m","e_SNC_50m","e_RPG_10m","e_RPG_20m","e_RPG_50m"
"BACCHUS","01B15","2018","BACCHUS_01B15_2018","42340","73380","49300","45630","244360","192050"
"BACCHUS","01B15","2019","BACCHUS_01B15_2019","39110","72200","47600","43590","237360","193300"
"BACCHUS","01B15","2020","BACCHUS_01B15_2020","53080","68080","44900","41490","224840","188450"
"BACCHUS","01B15","2021","BACCHUS_01B15_2021","55230","68400","44750","35520","222240","187450"
"BACCHUS","01B15","2022","BACCHUS_01B15_2022","53180","65860","44000","42930","226260","186050"
"BACCHUS","01B15","2023","BACCHUS_01B15_2023","63890","70580","45650","37860","226680","186700"
"BACCHUS","01C15","2018","BACCHUS_01C15_2018","41600","71180","46650","42370","235260","189800"
"BACCHUS","01C15","2019","BACCHUS_01C15_2019","38620","68360","46200","42770","227780","189150"
"BACCHUS","01C15","2020","BACCHUS_01C15_2020","51690","64980","44100","39740","217300","184850"
"BACCHUS","01C15","2021","BACCHUS_01C15_2021","53740","66120","44650","34940","215160","183300"
"BACCHUS","01C15","2022","BACCHUS_01C15_2022","51480","64080","42800","40710","217980","183000"
"BACCHUS","01C15","2023","BACCHUS_01C15_2023","62050","66940","45100","37950","219240","183650"
"BACCHUS","02B15","2020","BACCHUS_02B15_2020","48500","61560","38000","62530","218020","181750"
"BACCHUS","02B15","2021","BACCHUS_02B15_2021","48660","63520","37700","51460","210080","177900"
"BACCHUS","02B15","2022","BACCHUS_02B15_2022","46730","59060","35450","58500","209840","175050"
"BACCHUS","02B18","2018","BACCHUS_02B18_2018","32080","64820","40500","63180","236280","186900"
"BACCHUS","02B18","2019","BACCHUS_02B18_2019","31250","63440","38400","61090","229580","184700"
"BACCHUS","02B18","2023","BACCHUS_02B18_2023","50650","61940","38550","51180","203380","172050"
"BACCHUS","02C15","2018","BACCHUS_02C15_2018","32100","63980","40400","62630","234080","183700"
"BACCHUS","02C15","2019","BACCHUS_02C15_2019","31300","63160","38950","61380","228820","181850"
"BACCHUS","02C15","2020","BACCHUS_02C15_2020","49060","61500","39450","62120","217440","178000"
"BACCHUS","02C15","2021","BACCHUS_02C15_2021","49000","61580","38100","52080","209480","174400"
"BACCHUS","02C15","2022","BACCHUS_02C15_2022","47050","58460","36150","59010","207780","170700"
"BACCHUS","02C15","2023","BACCHUS_02C15_2023","50940","59620","37300","51790","203340","169900"
"BACCHUS","03B15","2018","BACCHUS_03B15_2018","26000","49180","27300","62590","210580","172100"
"BACCHUS","03B15","2019","BACCHUS_03B15_2019","23590","48340","27850","54790","196280","165750"
"BACCHUS","03B15","2020","BACCHUS_03B15_2020","42380","53160","29250","58470","188760","162300"
"BACCHUS","03B15","2021","BACCHUS_03B15_2021","43820","54420","27450","50570","183300","161400"
"BACCHUS","03B15","2022","BACCHUS_03B15_2022","43740","53180","25900","52280","184720","161200"
"BACCHUS","03B15","2023","BACCHUS_03B15_2023","41930","51200","27450","46880","180440","158400"
"BACCHUS","03C18","2018","BACCHUS_03C18_2018","25580","48460","27850","64420","216180","177200"
"BACCHUS","03C18","2019","BACCHUS_03C18_2019","22720","47380","28150","59930","202520","170600"
"BACCHUS","03C18","2020","BACCHUS_03C18_2020","41790","53300","28550","65250","196920","168350"
"BACCHUS","03C18","2021","BACCHUS_03C18_2021","42840","54900","27900","56580","191940","167800"
"BACCHUS","03C18","2022","BACCHUS_03C18_2022","42760","53620","25850","58790","194140","167250"
"BACCHUS","03C18","2023","BACCHUS_03C18_2023","43360","53840","28150","51350","190560","164850"
"BACCHUS","04B15","2018","BACCHUS_04B15_2018","34070","63820","40200","61270","235640","185550"
"BACCHUS","04B15","2019","BACCHUS_04B15_2019","31250","62220","41100","58650","226060","181750"
"BACCHUS","04B15","2020","BACCHUS_04B15_2020","49690","63380","41250","59970","216380","180600"
"BACCHUS","04C18","2018","BACCHUS_04C18_2018","33890","63620","41550","61680","238500","183850"
"BACCHUS","04C18","2019","BACCHUS_04C18_2019","31160","62480","40950","59160","228600","181200"
