"code
culture",libelle culture,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group,id
BTH,ble_tendre_hiver,1,ble,ble_tendre,BTH,ble_tendre_hiver,1,1
BTP,ble_tendre_printemps,1,ble,ble_tendre,BTP,ble_tendre_printemps,2,2
MID,mais_doux,2,mais,mais,MID,mais_doux,3,3
MIE,mais_ensilage,2,mais,mais,MIE,mais_ensilage,4,4
MIS,mais_grain_semence,2,mais,mais,MIS,mais_grain_semence,5,5
ORH,orge_hiver,3,orge,orge,ORH,orge_hiver,6,6
ORP,orge_printemps,3,orge,orge,ORP,orge_printemps,7,7
AVH,avoine_hiver,4,cer_2nd,autres_cereales,AVH,avoine_hiver,8,8
AVP,avoine_printemps,4,cer_2nd,autres_cereales,AVP,avoine_printemps,9,9
BDH,ble_dur_hiver,4,cer_2nd,autres_cereales,BDH,ble_dur_hiver,10,10
BDP,ble_dur_printemps,4,cer_2nd,autres_cereales,BDP,ble_dur_printemps,11,11
BDT,ble_dur_printemps_tardif,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,12
CAG,autre_cereale_autre_genre,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,13
CGF,autre_cereale_genre_fagopyrum,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,14
CGH,autre_cereale_genre_phalaris,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,15
CGO,autre_cereale_genre_sorghum,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,16
CGP,autre_cereale_genre_panicum,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,17
CGS,autre_cereale_genre_setaria,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,18
MCR,melange_cereales,4,cer_2nd,autres_cereales,cer_2nd,autres_cereales,12,19
CAH,autre_cereale_secondaire_hiver,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,20
CHA,autre_cereale_hiver_genre_avena,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,21
CHH,autre_cereale_hiver_genre_hordeum,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,22
CHS,autre_cereale_hiver_genre_secale,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,23
CHT,autre_cereale_hiver_genre_triticum,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,24
EPE,epeautre,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,25
SGH,seigle_hiver,4,cer_2nd,autres_cereales,cer_2nd_h,autres_cereales_hiver,13,26
CPA,autre_cereale_printemps_genre_avena,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,27
CPH,autre_cereale_printemps_genre_hordeum,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,28
CPS,autre_cereale_printemps_genre_secale,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,29
CPT,autre_cereale_printemps_genre_triticum,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,30
