id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,keep_ag
1,BTH,ble_tendre_hiver,rpg,1,ble,ble_tendre,1,BTH,ble_tendre_hiver,1
2,BTP,ble_tendre_printemps,rpg,1,ble,ble_tendre,2,BTP,ble_tendre_printemps,1
3,MID,mais_doux,rpg,2,mais,mais,3,MID,mais_doux,1
4,MIE,mais_ensilage,rpg,2,mais,mais,4,MIE,mais_ensilage,1
5,MIS,mais_grain_semence,rpg,2,mais,mais,5,MIS,mais_grain_semence,1
6,ORH,orge_hiver,rpg,3,orge,orge,6,ORH,orge_hiver,1
7,ORP,orge_printemps,rpg,3,orge,orge,7,ORP,orge_printemps,1
8,AVH,avoine_hiver,rpg,4,cer_2nd,autres_cereales,8,AVH,avoine_hiver,1
9,AVP,avoine_printemps,rpg,4,cer_2nd,autres_cereales,9,AVP,avoine_printemps,1
10,BDH,ble_dur_hiver,rpg,4,cer_2nd,autres_cereales,10,BDH,ble_dur_hiver,1
11,BDP,ble_dur_printemps,rpg,4,cer_2nd,autres_cereales,11,BDP,ble_dur_printemps,1
12,BDT,ble_dur_printemps_tardif,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
13,CAG,autre_cereale_autre_genre,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
14,CGF,autre_cereale_genre_fagopyrum,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
15,CGH,autre_cereale_genre_phalaris,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
16,CGO,autre_cereale_genre_sorghum,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
17,CGP,autre_cereale_genre_panicum,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
18,CGS,autre_cereale_genre_setaria,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
19,MCR,melange_cereales,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales,1
20,CAH,autre_cereale_secondaire_hiver,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
21,CHA,autre_cereale_hiver_genre_avena,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
22,CHH,autre_cereale_hiver_genre_hordeum,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
23,CHS,autre_cereale_hiver_genre_secale,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
24,CHT,autre_cereale_hiver_genre_triticum,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
25,EPE,epeautre,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
26,SGH,seigle_hiver,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver,1
27,CPA,autre_cereale_printemps_genre_avena,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
28,CPH,autre_cereale_printemps_genre_hordeum,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
29,CPS,autre_cereale_printemps_genre_secale,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
30,CPT,autre_cereale_printemps_genre_triticum,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
31,CPZ,autre_cereale_printemps_genre_zea,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
32,MCS,melange_cereales_printemps,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
33,MLT,millet,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
34,SGP,seigle_printemps,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
35,SRS,sarrasin,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps,1
36,SOG,sorgho,rpg,4,cer_2nd,autres_cereales,15,SOG,sorgho,1
37,TTH,triticale_hiver,rpg,4,cer_2nd,autres_cereales,16,TTH,triticale_hiver,1
38,TTP,triticale_printemps,rpg,4,cer_2nd,autres_cereales,17,TTP,triticale_printemps,1
39,CZH,colza_hiver,rpg,5,colz,colza,18,CZH,colza_hiver,1
40,CZP,colza_printemps,rpg,5,colz,colza,19,olea,autres_oleagineux,1
41,TRN,tournesol,rpg,6,TRN,tournesol,20,TRN,tournesol,1
42,ARA,arachide,rpg,7,olea,autres_oleagineux,21,olea,autres_oleagineux,1
43,LIH,lin_non_textile_hiver,rpg,7,olea,autres_oleagineux,22,lin_non_text,lin_non_textile,1
44,LIP,lin_non_textile_printemps,rpg,7,olea,autres_oleagineux,22,lin_non_text,lin_non_textile,1
45,MOL,melange_oleagineux,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
46,NVE,navette_ete,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
47,NVH,navette_hiver,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
48,OAG,autre_oleagineux_autre_genre,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
49,OEH,autre_oleagineux_helianthus,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
50,OEI,oeillette,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
51,OHN,autre_oleagineux_hiver_brassica_napus,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
52,OHR,autre_oleagineux_hiver_brassica_rapa,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
