id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2
1,BTH,ble_tendre_hiver,rpg,1,ble,ble_tendre,1,BTH,ble_tendre_hiver
2,BTP,ble_tendre_printemps,rpg,1,ble,ble_tendre,2,BTP,ble_tendre_printemps
3,MID,mais_doux,rpg,2,mais,mais,3,MID,mais_doux
4,MIE,mais_ensilage,rpg,2,mais,mais,4,MIE,mais_ensilage
5,MIS,mais_grain_semence,rpg,2,mais,mais,5,MIS,mais_grain_semence
6,ORH,orge_hiver,rpg,3,orge,orge,6,ORH,orge_hiver
7,ORP,orge_printemps,rpg,3,orge,orge,7,ORP,orge_printemps
8,AVH,avoine_hiver,rpg,4,cer_2nd,autres_cereales,8,AVH,avoine_hiver
9,AVP,avoine_printemps,rpg,4,cer_2nd,autres_cereales,9,AVP,avoine_printemps
10,BDH,ble_dur_hiver,rpg,4,cer_2nd,autres_cereales,10,BDH,ble_dur_hiver
11,BDP,ble_dur_printemps,rpg,4,cer_2nd,autres_cereales,11,BDP,ble_dur_printemps
13,CAG,autre_cereale_autre_genre,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales
15,CGH,autre_cereale_genre_phalaris,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales
16,CGO,autre_cereale_genre_sorghum,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales
19,MCR,melange_cereales,rpg,4,cer_2nd,autres_cereales,12,cer_2nd,autres_cereales
21,CHA,autre_cereale_hiver_genre_avena,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver
22,CHH,autre_cereale_hiver_genre_hordeum,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver
24,CHT,autre_cereale_hiver_genre_triticum,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver
25,EPE,epeautre,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver
26,SGH,seigle_hiver,rpg,4,cer_2nd,autres_cereales,13,cer_2nd_h,autres_cereales_hiver
27,CPA,autre_cereale_printemps_genre_avena,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
30,CPT,autre_cereale_printemps_genre_triticum,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
31,CPZ,autre_cereale_printemps_genre_zea,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
32,MCS,melange_cereales_printemps,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
33,MLT,millet,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
34,SGP,seigle_printemps,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
35,SRS,sarrasin,rpg,4,cer_2nd,autres_cereales,14,cer_2nd_p,autres_cereales_printemps
36,SOG,sorgho,rpg,4,cer_2nd,autres_cereales,15,SOG,sorgho
37,TTH,triticale_hiver,rpg,4,cer_2nd,autres_cereales,16,TTH,triticale_hiver
38,TTP,triticale_printemps,rpg,4,cer_2nd,autres_cereales,17,TTP,triticale_printemps
39,CZH,colza_hiver,rpg,5,colz,colza,18,CZH,colza_hiver
40,CZP,colza_printemps,rpg,5,colz,colza,19,olea,autres_oleagineux
41,TRN,tournesol,rpg,6,TRN,tournesol,20,TRN,tournesol
43,LIH,lin_non_textile_hiver,rpg,7,olea,autres_oleagineux,22,lin_non_text,lin_non_textile
44,LIP,lin_non_textile_printemps,rpg,7,olea,autres_oleagineux,22,lin_non_text,lin_non_textile
46,NVE,navette_ete,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux
48,OAG,autre_oleagineux_autre_genre,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux
49,OEH,autre_oleagineux_helianthus,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux
50,OEI,oeillette,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux
55,SOJ,soja,rpg,7,olea,autres_oleagineux,24,SOJ,soja
56,FEV,feve,rpg,8,prot,proteagineux,25,prot,proteagineux
57,FVL,feverole_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux
58,FVP,feverole_printemps,rpg,8,prot,proteagineux,25,prot,proteagineux
60,LDH,lupin_doux_hiver,rpg,8,prot,proteagineux,25,prot,proteagineux
61,LDP,lupin_doux_printemps_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux
63,MPC,melange_proteagineux_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux
64,MPP,melange_proteagineux,rpg,8,prot,proteagineux,25,prot,proteagineux
66,PAG,autre_proteagineux_autre_genre,rpg,8,prot,proteagineux,25,prot,proteagineux
67,PHI,pois_hiver,rpg,8,prot,proteagineux,25,prot,proteagineux
68,PPR,pois_printemps_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux
70,CHV,chanvre,rpg,9,plte_fb,plante_a_fibre,26,CHV,chanvre
71,CSE,chanvre_sans_etiquette,rpg,9,plte_fb,plante_a_fibre,26,CHV,chanvre
72,LIF,lin_fibres,rpg,9,plte_fb,plante_a_fibre,27,LIF,lin_fibres
73,J5M,jachere_temporaire,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod
74,J6P,jachere_permanente,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod
75,J6S,jachere_sie,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod
76,JAC,jachere,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod
77,JNO,jachere_noire,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod
78,RIZ,riz,rpg,14,riz,riz,29,riz,riz
79,LEC,lentille_cultivee_non_fourragere,rpg,15,leg_gr,legumineuses_graines,30,leg_gr,legumineuses_graines
