"Study_ID","Site","Year","ID","ID_PARCEL","SURF_PARC","CODE_CULTU","CODE_GROUP","CULTURE_D2","Perim_m","Area_ha","Length_haie_0_m","Length_haie_5_m","Length_haie_10_m","Mean_fieldsize_500m_ha","Mean_fieldsize_1000m_ha","Mean_fieldsize_1500m_ha"
"MUESLI","1_1","2016","MUESLI_1_1_2016","3133639",1.93,"BTH","1",NA,623.976903209256,1.92586132114726,0,0,28.5244922322096,2.762,2.50687022900763,2.2808273381295
"MUESLI","105CER03","2016","MUESLI_105CER03_2016","3175566",6.7,"TTH","4",NA,1380.30419416924,6.69053323873552,48.9391329485242,187.288611612194,213.034006150617,5.61941176470588,3.99917808219178,2.99511494252874
"MUESLI","11_2","2016","MUESLI_11_2_2016","3100683",10.34,"BDH","4",NA,1352.61517236144,10.3298238690008,49.0861056299406,210.610619998431,311.037287693902,3.62566666666667,3.16700854700855,3.23457627118644
"MUESLI","1154","2016","MUESLI_1154_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53666666666667,3.01189655172414,3.04125
"MUESLI","117","2016","MUESLI_117_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.375,3.70717948717949,3.57070063694268
"MUESLI","1230COL","2016","MUESLI_1230COL_2016","3155825",0.41,"ORH","3",NA,257.400038704617,0.408542855933309,0,0,0,3.87735294117647,3.10119266055046,2.7410358565737
"MUESLI","1234CER","2016","MUESLI_1234CER_2016","3131595",1.33,"BTH","1",NA,486.146400449807,1.32985338925156,0,30.9650964402227,57.8481573853709,2.66538461538462,2.82090909090909,2.60817204301075
"MUESLI","1235CER","2016","MUESLI_1235CER_2016","3131684",3.05,"BTH","1",NA,1008.85009597305,3.04186438497212,0,0,34.7131607416196,3.67333333333333,2.58936170212766,2.85122340425532
"MUESLI","128","2016","MUESLI_128_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3605,3.43409090909091,2.81841121495327
"MUESLI","13_2","2016","MUESLI_13_2_2016","3099965",10.44,"BTH","1",NA,1339.03000236658,10.4234483198335,82.9721351038358,220.984412199739,276.523191762775,2.83647058823529,2.468,2.3551598173516
"MUESLI","14_3","2016","MUESLI_14_3_2016","3097733",2.09,"BTH","1",NA,608.995715590082,2.08654100534283,99.0010313039751,274.75256381151,437.757847589801,2.72166666666667,2.25330882352941,2.48706349206349
"MUESLI","14LEGE","2016","MUESLI_14LEGE_2016","3133156",4.55,"BTH","1",NA,1140.99845225044,4.54663742020666,82.9614154880337,182.434303095032,445.725475647813,2.1493023255814,2.38713114754098,2.36786821705426
"MUESLI","1552","2016","MUESLI_1552_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38886363636364,2.33708333333333,2.42534482758621
"MUESLI","1668","2016","MUESLI_1668_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.491,3.28009708737864,2.83932270916335
"MUESLI","1684","2016","MUESLI_1684_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25789473684211,2.88454545454545,2.83379591836735
"MUESLI","1717","2016","MUESLI_1717_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2546875,3.78483516483516,3.4454854368932
"MUESLI","173","2016","MUESLI_173_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78435897435897,2.33246376811594,2.35069090909091
"MUESLI","1753","2016","MUESLI_1753_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37774193548387,2.57702127659574,2.65922178988327
"MUESLI","1762","2016","MUESLI_1762_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73407407407407,3.52459770114943,2.65859903381642
"MUESLI","1817","2016","MUESLI_1817_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83270833333333,2.0994262295082,2.44136752136752
"MUESLI","1855","2016","MUESLI_1855_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17666666666667,3.20974137931034,3.15286384976526
"MUESLI","1899","2016","MUESLI_1899_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4.03302083333333,3.90725806451613
"MUESLI","19_3","2016","MUESLI_19_3_2016","3091888",7.62,"ORH","3",NA,1287.06607451539,7.60721815230344,0,69.5989364928437,129.005248034773,2.49638888888889,2.52627737226277,2.68450184501845
"MUESLI","1950","2016","MUESLI_1950_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20184210526316,2.8173275862069,3.27157657657658
"MUESLI","2_1","2016","MUESLI_2_1_2016","3158129",34.09,"BTH","1",NA,4023.55295934371,34.0483784874434,205.13620036674,324.345259148796,650.849074569725,3.7644,3.01213333333333,3.02269230769231
"MUESLI","2011","2016","MUESLI_2011_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80425531914894,2.5696694214876,2.37108870967742
"MUESLI","398","2016","MUESLI_398_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,3.85171052631579,3.19069651741294
"MUESLI","399","2016","MUESLI_399_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45758620689655,3.85771084337349,3.61525714285714
"MUESLI","428","2016","MUESLI_428_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27870967741935,3.752,3.85383647798742
"MUESLI","5_1","2016","MUESLI_5_1_2016","3169005",3.27,"BDH","4",NA,940.073068571675,3.26721229724125,0,217.48757723732,274.139257315345,3.01774193548387,3.15798245614035,3.21217592592593
"MUESLI","520","2016","MUESLI_520_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9004,2.27888888888889,2.5862962962963
"MUESLI","540","2016","MUESLI_540_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3656,3.45451923076923,2.828
"MUESLI","568","2016","MUESLI_568_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6447619047619,2.77771428571429,2.7170703125
"MUESLI","587","2016","MUESLI_587_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43574468085106,2.80184210526316,2.68651639344262
"MUESLI","6_2","2016","MUESLI_6_2_2016","3098834",9.51,"BTH","1",NA,1398.95710867547,9.49376511015351,403.018159855812,430.023931419759,459.59642528868,4.14451612903226,3.47978260869565,2.64344129554656
"MUESLI","674","2016","MUESLI_674_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41636363636364,4.47060975609756,3.43281553398058
"MUESLI","7_1","2016","MUESLI_7_1_2016","3163163",2.12,"BDH","4",NA,695.415298501388,2.11867686522908,59.3953401307107,199.378834091795,295.286654702598,3.55407407407407,3.04214953271028,2.77220338983051
"MUESLI","747","2016","MUESLI_747_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28722222222222,3.33701754385965,3.11825910931174
"MUESLI","813","2016","MUESLI_813_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96107142857143,3.09418803418803,2.65098113207547
"MUESLI","833","2016","MUESLI_833_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62673913043478,2.4242962962963,2.61713178294574
"MUESLI","842","2016","MUESLI_842_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5045652173913,2.97096774193548,2.73831932773109
"MUESLI","890","2016","MUESLI_890_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58047619047619,4.23345238095238,3.23560747663551
"MUESLI","9_1","2016","MUESLI_9_1_2016","3144607",1.57,"BTH","1",NA,708.190530407654,1.57290121659227,0,0,58.182510898691,2.90954545454545,3.3747191011236,3.07656804733728
"MUESLI","901","2016","MUESLI_901_2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29239130434783,2.75480620155039,2.72240458015267
"MUESLI","982","2016","MUESLI_982_2016","3155341",6.61,"BTH","1",NA,1197.75803876801,6.60239228270194,44.0414223999953,218.032961488027,279.334593215358,4.6044,4.37875,4.78051282051282
"MUESLI","T01_1","2016","MUESLI_T01_1_2016","3071109",1.48,"BTH","1",NA,513.278958347481,1.47853111664407,13.788306685255,107.048359801998,150.947335537731,2.3006,2.38511278195489,2.54409090909091
"MUESLI","T01_3","2016","MUESLI_T01_3_2016","3147016",3.84,"BTH","1",NA,893.601774384904,3.83883674451687,143.576643004622,163.752984759498,169.257880369226,3.26724137931034,2.58730158730159,2.70409448818898
"MUESLI","T01_5","2016","MUESLI_T01_5_2016","3147019",1.12,"BTH","1",NA,513.10047850065,1.11663053436205,0,51.1190099211143,58.6288918867569,2.57145833333333,2.84126050420168,2.77495726495727
"MUESLI","T02","2016","MUESLI_T02_2016","3125365",1.58,"TTH","4",NA,557.389233307022,1.57496969290646,0,68.199766613837,168.573520534864,1.6024,2.30798319327731,2.3974358974359
"MUESLI","T03_1","2016","MUESLI_T03_1_2016","3176313",7.63,"MIS","2",NA,1105.8826263355,7.62022068835991,3.88001763958962,220.922194213468,320.100763727345,3.0430303030303,2.31915966386555,2.11700389105058
"MUESLI","T04_1","2016","MUESLI_T04_1_2016","3081766",2,"ORH","3",NA,595.923564000918,2.00241986099037,21.6190959022601,166.084572918831,216.104798623328,1.448,2.07503496503496,2.29738181818182
"MUESLI","T05","2016","MUESLI_T05_2016","3167137",4.33,"BTH","1",NA,1060.48825347962,4.32663812301375,13.4682985155676,483.329349653361,735.751389145851,4.83275862068966,3.86470588235294,3.37169642857143
"MUESLI","T06","2016","MUESLI_T06_2016","3098733",4.1,"BTH","1",NA,1195.91825301511,4.09612334576231,286.65258150126,562.626194370004,587.44407061009,3.19973684210526,2.92112068965517,2.66033834586466
"MUESLI","T07","2016","MUESLI_T07_2016","3158700",0.85,"BTH","1",NA,378.057371906957,0.851068045761599,22.8002192970276,184.656756190068,199.286698158742,3.43457142857143,3.71821782178218,3.60420212765957
"MUESLI","T09","2016","MUESLI_T09_2016","3161708",6.01,"BTH","1",NA,1369.78618548993,6.00486152563523,235.335287439047,531.067281289696,539.356313296685,2.65702702702703,2.99496,2.83396761133603
"MUESLI","T10","2016","MUESLI_T10_2016","3087298",9.98,"BDH","4",NA,1976.09456908662,9.97279885908462,222.043455198271,495.574171970069,641.250112419291,3.73777777777778,3.4580198019802,2.8954347826087
"MUESLI","T11","2016","MUESLI_T11_2016","3071428",10.01,"BDH","4",NA,1837.9232330967,10.0036566718827,33.0979148359317,201.298814394676,234.23326586096,5.28409090909091,4.41458333333333,3.99238095238095
"MUESLI","T12","2016","MUESLI_T12_2016","3172857",10.13,"BTH","1",NA,1919.16937437601,10.1240807124601,212.403453399298,564.226988143444,590.225117043856,4.40708333333333,3.31689075630252,2.76554263565891
"MUESLI","T19","2016","MUESLI_T19_2016","3174382",1.9,"AVH","4",NA,647.294409842203,1.89772975633148,94.9229731615819,319.287046735566,386.303792346194,3.1172,3.37126213592233,3.19810945273632
"MUESLI","T20_1","2016","MUESLI_T20_1_2016","3136986",4.45,"BTH","1",NA,933.851432994309,4.44618125646636,41.9508895604142,106.967531308698,117.049808795946,3.57774193548387,2.60991935483871,2.60409482758621
